To,Location
CLOCK_50,PIN_N2
KEY[0],PIN_R22
KEY[1],PIN_R21
KEY[2],PIN_T22
KEY[3],PIN_T21
SW[0],PIN_U22
SW[1],PIN_U21
SW[17],PIN_E22
LEDR[0],PIN_AE23
HEX0[0],AH28
HEX0[1],AG28
HEX0[2],AF27
HEX0[3],AG27
HEX0[4],AF28
HEX0[5],AE27
HEX0[6],AE26
HEX1[0],AA24
HEX1[1],AB25
HEX1[2],AC25
HEX1[3],AD25
HEX1[4],AE25
HEX1[5],AC26
HEX1[6],AD26
HEX2[0],V22
HEX2[1],W23
HEX2[2],Y23
HEX2[3],U23
HEX2[4],V23
HEX2[5],W24
HEX2[6],Y24
HEX3[0],N21
HEX3[1],P22
HEX3[2],P21
HEX3[3],R22
HEX3[4],T21
HEX3[5],T22
HEX3[6],U22
HEX4[0],J21
HEX4[1],K22
HEX4[2],K21
HEX4[3],L22
HEX4[4],M22
HEX4[5],L21
HEX4[6],M21
HEX5[0],F22
HEX5[1],F21
HEX5[2],G22
HEX5[3],G21
HEX5[4],H22
HEX5[5],H21
HEX5[6],J22
